libkrb5-3	1	libgssapi-krb5-2
libkrb5support0	3	libgssapi-krb5-2,libk5crypto3,libkrb5-3
liblastlog2-2	1	util-linux
liblocale-gettext-perl	1	debconf-i18n
liblz4-1	1	libapt-pkg7.0
liblzma5	2	dpkg,libapt-pkg7.0
libmd0	2	dpkg,libbsd0
libmnl0	3	iproute2,libnftables1,libnftnl11
libmount1	5	fdisk,libsystemd-shared,mount,systemd,util-linux
libncursesw6	3	fdisk,nano,procps
libnettle8t64	2	libhogweed6t64,sqv
libnewt0.52	1	whiptail
libnftables1	1	nftables
libnftnl11	1	libnftables1
libpam0g	8	cron,libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,systemd,util-linux
libpam-modules	4	libpam-runtime,login,passwd,util-linux
libpam-modules-bin	1	libpam-modules
libpam-runtime	3	cron,login,util-linux
libpcre2-8-0	2	grep,libselinux1
libpopt0	2	logrotate,whiptail
libproc2-0	1	procps
libreadline8t64	1	fdisk
libseccomp2	3	apt,libsystemd-shared,systemd
libselinux1	19	base-passwd,coreutils,cron,dpkg,findutils,iproute2,libmount1,libpam-modules-bin,libpam-modules,libsemanage2,libsystemd-shared,logrotate,mount,passwd,sed,systemd,tar,util-linux,vim-tiny
libsemanage2	1	passwd
libsemanage-common	1	libsemanage2
libsepol2	1	libsemanage2
libslang2	2	libnewt0.52,whiptail
libsmartcols1	3	fdisk,mount,util-linux
libsqlite3-0	1	liblastlog2-2
libss2	1	e2fsprogs
libssl3t64	10	apt,coreutils,dhcpcd-base,kmod,libapt-pkg7.0,libkmod2,libkrb5-3,libsystemd-shared,openssl-provider-legacy,systemd
libstdc++6	3	apt,apt-utils,libapt-pkg7.0
libsystemd0	10	apt,bsdutils,coreutils,libapt-pkg7.0,libpam-modules-bin,libpam-modules,libproc2-0,procps,systemd,util-linux
libsystemd-shared	2	systemd,udev
libtext-charwidth-perl	2	debconf-i18n,libtext-wrapi18n-perl
libtext-iconv-perl	1	debconf-i18n
libtext-wrapi18n-perl	1	debconf-i18n
libtinfo6	11	bash,fdisk,less,libedit2,libncursesw6,libreadline8t64,nano,ncurses-bin,procps,util-linux,vim-tiny
libtirpc3t64	1	iproute2
libtirpc-common	1	libtirpc3t64
libudev1	4	dhcpcd-base,libapt-pkg7.0,udev,util-linux
libunistring5	1	libidn2-0
libuuid1	3	e2fsprogs,libfdisk1,util-linux
libxtables12	2	iproute2,libnftables1
libxxhash0	2	libapt-pkg7.0,liblz4-1
libzstd1	4	dpkg,libapt-pkg7.0,libelf1t64,libssl3t64
login.defs	2	login,passwd
logsave	1	e2fsprogs
mawk	1	base-files
mount	1	systemd
openssl-provider-legacy	1	libssl3t64
passwd	1	adduser
perl-base	6	liblocale-gettext-perl,liblocale-gettext-perl,libtext-charwidth-perl,libtext-charwidth-perl,libtext-iconv-perl,libtext-iconv-perl
readline-common	1	libreadline8t64
sensible-utils	1	cron
sqv	1	apt
systemd	6	cron-daemon-common,cron-daemon-common,systemd-sysv,systemd-sysv,udev,udev
systemd-standalone-sysusers	2	cron-daemon-common,udev
systemd-sysv	2	init,logrotate
sysvinit-core	1	init
tar	1	dpkg
vim-common	1	vim-tiny
zlib1g	5	dpkg,libapt-pkg7.0,libbpf1,libelf1t64,libssl3t64
