libssl3t64	apt,coreutils,dhcpcd-base,kmod,libapt-pkg7.0,libkmod2,libkrb5-3,libsystemd-shared,openssl-provider-legacy,systemd	10
libstdc++6	apt,apt-utils,libapt-pkg7.0	3
libsystemd0	apt,bsdutils,coreutils,libapt-pkg7.0,libpam-modules-bin,libpam-modules,libproc2-0,procps,systemd,util-linux	10
libsystemd-shared	systemd,udev	2
libtext-charwidth-perl	debconf-i18n,libtext-wrapi18n-perl	2
libtext-iconv-perl	debconf-i18n	1
libtext-wrapi18n-perl	debconf-i18n	1
libtinfo6	bash,fdisk,less,libedit2,libncursesw6,libreadline8t64,nano,ncurses-bin,procps,util-linux,vim-tiny	11
libtirpc3t64	iproute2	1
libtirpc-common	libtirpc3t64	1
libudev1	dhcpcd-base,libapt-pkg7.0,udev,util-linux	4
libunistring5	libidn2-0	1
libuuid1	e2fsprogs,libfdisk1,util-linux	3
libxtables12	iproute2,libnftables1	2
libxxhash0	libapt-pkg7.0,liblz4-1	2
libzstd1	dpkg,libapt-pkg7.0,libelf1t64,libssl3t64	4
login.defs	login,passwd	2
logsave	e2fsprogs	1
mount	systemd	1
openssl-provider-legacy	libssl3t64	1
passwd	adduser	1
perlapi-5.40.0	liblocale-gettext-perl,libtext-charwidth-perl,libtext-iconv-perl	3
perl-base	liblocale-gettext-perl,libtext-charwidth-perl,libtext-iconv-perl	3
readline-common	libreadline8t64	1
sensible-utils	cron	1
sqv	apt	1
systemd	cron-daemon-common,systemd-sysv,systemd-sysv,udev	4
systemd-standalone-sysusers	cron-daemon-common,udev	2
systemd-sysusers	cron-daemon-common,udev	2
systemd-sysv	init,logrotate	2
sysvinit-core	init	1
tar	dpkg	1
vim-common	vim-tiny	1
zlib1g	dpkg,libapt-pkg7.0,libbpf1,libelf1t64,libssl3t64	5
