package	version	arch	tier	tier_source	subsystem	fwd_dep_count	rdep_count	rdeps	size_kb	bin_files	lib_files	unit_files	doc_files	maintainer_hook_count	security_evidence_count	candidate
libext2fs2t64	1.47.2-3+b11	amd64	dependency	auto (unclassified)	filesystem-storage	1	1	e2fsprogs	557	0	0	0	0	0	0	-
libfdisk1	2.41-5	amd64	dependency	auto (unclassified)	filesystem-storage	3	1	fdisk	584	0	0	0	0	0	0	-
libgcc-s1	14.2.0-19	amd64	dependency	auto (unclassified)	executable-runtime	2	6	apt,apt-utils,libapt-pkg7.0,libc6,libstdc++6,sqv	197	0	0	0	0	0	0	-
libgmp10	2:6.3.0+dfsg-3	amd64	dependency	auto (unclassified)	support-libraries	1	4	coreutils,libhogweed6t64,libnftables1,sqv	882	0	0	0	0	0	0	-
libgssapi-krb5-2	1.21.3-5+deb13u1	amd64	dependency	auto (unclassified)	networking	5	1	libtirpc3t64	434	0	0	0	0	0	0	-
libhogweed6t64	3.10.1-1	amd64	dependency	auto (unclassified)	support-libraries	3	1	sqv	483	0	0	0	0	0	0	-
libidn2-0	2.3.8-2	amd64	dependency	auto (unclassified)	networking	2	1	iputils-ping	446	0	0	0	0	0	0	-
libjansson4	2.14-2+b3	amd64	dependency	auto (unclassified)	networking	1	1	libnftables1	100	0	0	0	0	0	0	-
libk5crypto3	1.21.3-5+deb13u1	amd64	dependency	auto (unclassified)	networking	2	2	libgssapi-krb5-2,libkrb5-3	266	0	0	0	0	0	0	-
libkeyutils1	1.6.3-6	amd64	dependency	auto (unclassified)	networking	1	1	libkrb5-3	41	0	0	0	0	0	0	-
libkmod2	34.2-2	amd64	dependency	auto (unclassified)	device-kernel	2	2	kmod,udev	144	0	0	0	0	0	0	-
libkrb5-3	1.21.3-5+deb13u1	amd64	dependency	auto (unclassified)	networking	6	1	libgssapi-krb5-2	1074	0	0	0	0	0	0	-
libkrb5support0	1.21.3-5+deb13u1	amd64	dependency	auto (unclassified)	networking	1	3	libgssapi-krb5-2,libk5crypto3,libkrb5-3	137	0	0	0	0	0	0	-
liblastlog2-2	2.41-5	amd64	dependency	auto (unclassified)	accounts-auth	2	1	util-linux	75	0	0	0	0	0	0	-
liblocale-gettext-perl	1.07-7+b1	amd64	debian-essential	auto (Priority/Essential)	perl-runtime	3	1	debconf-i18n	53	0	9	0	8	0	0	-
liblz4-1	1.10.0-4	amd64	dependency	auto (unclassified)	support-libraries	2	1	libapt-pkg7.0	173	0	0	0	0	0	0	-
liblzma5	5.8.1-1+deb13u1	amd64	dependency	auto (unclassified)	support-libraries	1	2	dpkg,libapt-pkg7.0	435	0	0	0	0	0	0	-
libmd0	1.1.0-2+b1	amd64	dependency	auto (unclassified)	support-libraries	1	2	dpkg,libbsd0	94	0	0	0	0	0	0	-
libmnl0	1.0.5-3	amd64	dependency	auto (unclassified)	networking	1	3	iproute2,libnftables1,libnftnl11	45	0	0	0	0	0	0	-
libmount1	2.41-5	amd64	dependency	auto (unclassified)	filesystem-storage	3	5	fdisk,libsystemd-shared,mount,systemd,util-linux	565	0	0	0	0	0	0	-
libncursesw6	6.5+20250216-2	amd64	dependency	auto (unclassified)	admin-human-interface	2	3	fdisk,nano,procps	419	0	0	0	0	0	0	-
libnettle8t64	3.10.1-1	amd64	dependency	auto (unclassified)	support-libraries	1	2	libhogweed6t64,sqv	560	0	0	0	0	0	0	-
libnewt0.52	0.52.25-1	amd64	dependency	auto (unclassified)	admin-human-interface	2	1	whiptail	365	0	0	0	0	0	0	-
libnftables1	1.1.3-1	amd64	dependency	auto (unclassified)	networking	6	1	nftables	1054	0	0	0	0	0	0	-
libnftnl11	1.2.9-1	amd64	dependency	auto (unclassified)	networking	2	1	libnftables1	244	0	0	0	0	0	0	-
libpam-modules	1.7.0-5	amd64	architectural	manual (tiers/architectural.txt)	accounts-auth	10	4	libpam-runtime,login,passwd,util-linux	923	0	0	0	0	0	0	-
libpam-modules-bin	1.7.0-5	amd64	architectural	manual (tiers/architectural.txt)	accounts-auth	6	1	libpam-modules	206	7	3	2	4	2	1	-
libpam-runtime	1.7.0-5	all	architectural	manual (tiers/architectural.txt)	accounts-auth	5	3	cron,login,util-linux	1028	2	1	0	74	0	0	-
libpam0g	1.7.0-5	amd64	architectural	manual (tiers/architectural.txt)	accounts-auth	4	8	cron,libpam-modules-bin,libpam-modules,libsystemd-shared,login,passwd,systemd,util-linux	194	0	0	0	0	0	0	-
libpcre2-8-0	10.46-1~deb13u1	amd64	dependency	auto (unclassified)	shell-userspace	1	2	grep,libselinux1	774	0	0	0	0	0	0	-
libpopt0	1.19+dfsg-2	amd64	dependency	auto (unclassified)	admin-human-interface	1	2	logrotate,whiptail	245	0	0	0	0	0	0	-
libproc2-0	2:4.0.4-9	amd64	dependency	auto (unclassified)	device-kernel	2	1	procps	237	0	0	0	0	0	0	-
libreadline8t64	8.2-6	amd64	dependency	auto (unclassified)	admin-human-interface	3	1	fdisk	485	0	0	0	0	0	0	-
libseccomp2	2.6.0-2	amd64	dependency	auto (unclassified)	init-service	1	3	apt,libsystemd-shared,systemd	201	0	0	0	0	0	0	-
libselinux1	3.8.1-1	amd64	dependency	auto (unclassified)	accounts-auth	2	19	base-passwd,coreutils,cron,dpkg,findutils,iproute2,libmount1,libpam-modules-bin,libpam-modules,libsemanage2,libsystemd-shared,logrotate,mount,passwd,sed,systemd,tar,util-linux,vim-tiny	229	0	0	0	0	0	0	-
libsemanage-common	3.8.1-1	all	dependency	auto (unclassified)	accounts-auth	0	1	libsemanage2	21	0	0	0	5	0	0	-
libsemanage2	3.8.1-1	amd64	dependency	auto (unclassified)	accounts-auth	6	1	passwd	313	0	0	0	0	0	0	-
libsepol2	3.8.1-1	amd64	dependency	auto (unclassified)	accounts-auth	1	1	libsemanage2	835	0	0	0	0	0	0	-
libslang2	2.3.3-5+b2	amd64	dependency	auto (unclassified)	admin-human-interface	1	2	libnewt0.52,whiptail	2395	0	0	0	0	0	0	-
libsmartcols1	2.41-5	amd64	dependency	auto (unclassified)	filesystem-storage	1	3	fdisk,mount,util-linux	377	0	0	0	0	0	0	-
libsqlite3-0	3.46.1-7+deb13u1	amd64	dependency	auto (unclassified)	accounts-auth	1	1	liblastlog2-2	1834	0	0	0	0	0	0	-
libss2	1.47.2-3+b11	amd64	dependency	auto (unclassified)	filesystem-storage	2	1	e2fsprogs	80	0	0	0	0	0	0	-
